"age group","county name","cases","deaths","hospitalization"
"05-09 years","Gilmer","33","0","0"
"10-17 years","Gilmer","161","0","2"
"18-29 years","Gilmer","324","0","8"
"30-39 years","Gilmer","290","0","14"
"40-49 years","Gilmer","307","0","15"
"50-59 years","Gilmer","345","5","21"
"60-69 years","Gilmer","316","6","34"
"70-79 years","Gilmer","228","10","38"
"80 & Older years","Gilmer","131","28","38"
"<1 years","Gilmer","10","0","0"
"Unknown years","Gilmer","43","0","0"
"01-04 years","Glascock","1","0","0"
"05-09 years","Glascock","2","0","0"
"10-17 years","Glascock","1","0","0"
"18-29 years","Glascock","21","0","1"
"30-39 years","Glascock","15","0","0"
"40-49 years","Glascock","19","0","2"
"50-59 years","Glascock","26","2","3"
"60-69 years","Glascock","14","0","1"
"70-79 years","Glascock","22","1","7"
"80 & Older years","Glascock","9","1","5"
"<1 years","Glascock","1","0","0"
"Unknown years","Glascock","1","0","0"
"01-04 years","Glynn","85","0","1"
"05-09 years","Glynn","157","0","1"
"10-17 years","Glynn","442","0","0"
"18-29 years","Glynn","1267","0","22"
"30-39 years","Glynn","960","4","25"
"40-49 years","Glynn","817","3","32"
"50-59 years","Glynn","785","9","63"
"60-69 years","Glynn","649","26","104"
"70-79 years","Glynn","398","40","76"
"80 & Older years","Glynn","235","55","81"
"<1 years","Glynn","18","0","0"
"Unknown years","Glynn","116","0","0"
"01-04 years","Gordon","76","0","0"
"05-09 years","Gordon","106","0","0"
"10-17 years","Gordon","464","0","4"
"18-29 years","Gordon","1059","0","11"
"30-39 years","Gordon","821","2","18"
"40-49 years","Gordon","876","1","26"
"50-59 years","Gordon","852","9","39"
"60-69 years","Gordon","513","19","42"
"70-79 years","Gordon","315","22","67"
"80 & Older years","Gordon","167","28","46"
"<1 years","Gordon","20","0","3"
"Unknown years","Gordon","83","0","3"
"01-04 years","Grady","30","0","1"
"05-09 years","Grady","38","0","0"
"10-17 years","Grady","119","0","3"
"18-29 years","Grady","242","0","9"
"30-39 years","Grady","209","0","9"
"40-49 years","Grady","226","0","20"
"50-59 years","Grady","199","7","26"
"60-69 years","Grady","155","4","23"
"70-79 years","Grady","145","14","42"
"80 & Older years","Grady","53","16","17"
"<1 years","Grady","4","0","1"
"Unknown years","Grady","3","0","0"
"01-04 years","Greene","14","0","0"
"05-09 years","Greene","30","0","0"
"10-17 years","Greene","73","0","0"
"18-29 years","Greene","236","0","5"
"30-39 years","Greene","166","0","6"
"40-49 years","Greene","160","3","12"
"50-59 years","Greene","194","4","15"
"60-69 years","Greene","200","5","13"
"70-79 years","Greene","147","5","22"
"80 & Older years","Greene","87","19","32"
"<1 years","Greene","3","0","1"
"Unknown years","Greene","1","0","0"
"01-04 years","Gwinnett","1140","0","21"
"05-09 years","Gwinnett","1814","0","19"
"10-17 years","Gwinnett","6038","1","74"
"18-29 years","Gwinnett","17124","6","520"
"30-39 years","Gwinnett","12667","15","532"
"40-49 years","Gwinnett","13617","42","712"
"50-59 years","Gwinnett","11534","76","776"
"60-69 years","Gwinnett","6353","149","785"
"70-79 years","Gwinnett","2901","184","614"
"80 & Older years","Gwinnett","1591","281","544"
"<1 years","Gwinnett","260","0","8"
"Unknown years","Gwinnett","229","0","1"
"01-04 years","Habersham","30","0","2"
"05-09 years","Habersham","53","0","3"
"10-17 years","Habersham","274","1","6"
"18-29 years","Habersham","764","0","10"
"30-39 years","Habersham","567","2","26"
"40-49 years","Habersham","608","3","38"
"50-59 years","Habersham","640","5","52"
"60-69 years","Habersham","517","15","107"
"70-79 years","Habersham","357","32","100"
"80 & Older years","Habersham","267","65","87"
"<1 years","Habersham","8","0","3"
"Unknown years","Habersham","325","0","4"
"01-04 years","Hall","168","0","5"
"05-09 years","Hall","341","0","3"
"10-17 years","Hall","1583","0","27"
"18-29 years","Hall","4868","3","147"
"30-39 years","Hall","3245","1","171"
"40-49 years","Hall","3435","7","240"
"50-59 years","Hall","3576","25","354"
"60-69 years","Hall","2418","60","367"
"70-79 years","Hall","1564","88","420"
"80 & Older years","Hall","887","143","356"
"<1 years","Hall","34","0","7"
"Unknown years","Hall","776","0","8"
"01-04 years","Hancock","6","0","0"
"05-09 years","Hancock","5","0","0"
"10-17 years","Hancock","28","0","0"
"18-29 years","Hancock","123","0","2"
"30-39 years","Hancock","106","0","2"
"40-49 years","Hancock","97","1","4"
"50-59 years","Hancock","128","4","15"
"60-69 years","Hancock","137","15","28"
"70-79 years","Hancock","68","15","19"
"80 & Older years","Hancock","58","18","21"
"<1 years","Hancock","4","0","0"
"Unknown years","Hancock","1","0","0"
"01-04 years","Haralson","19","0","0"
"05-09 years","Haralson","33","0","0"
"10-17 years","Haralson","131","0","1"
"18-29 years","Haralson","328","0","2"
"30-39 years","Haralson","202","0","3"
"40-49 years","Haralson","217","1","5"
"50-59 years","Haralson","230","1","3"
"60-69 years","Haralson","172","11","19"
"70-79 years","Haralson","121","10","15"
"80 & Older years","Haralson","52","5","8"
"<1 years","Haralson","6","0","0"
"Unknown years","Haralson","4","0","0"
"01-04 years","Harris","26","0","0"
"05-09 years","Harris","28","0","0"
"10-17 years","Harris","161","0","2"
"18-29 years","Harris","292","0","4"
"30-39 years","Harris","211","0","6"
"40-49 years","Harris","307","3","9"
"50-59 years","Harris","309","5","20"
"60-69 years","Harris","278","13","45"
"70-79 years","Harris","154","12","34"
"80 & Older years","Harris","52","7","9"
"<1 years","Harris","5","0","0"
"Unknown years","Harris","7","0","0"
"01-04 years","Hart","16","0","0"
"05-09 years","Hart","23","0","1"
"10-17 years","Hart","84","0","0"
"18-29 years","Hart","274","0","2"
"30-39 years","Hart","229","0","6"
"40-49 years","Hart","217","0","8"
"50-59 years","Hart","261","3","16"
"60-69 years","Hart","201","11","28"
"70-79 years","Hart","126","7","18"
"80 & Older years","Hart","84","11","25"
"<1 years","Hart","4","0","1"
"Unknown years","Hart","48","0","0"
"01-04 years","Heard","8","0","0"
"05-09 years","Heard","11","0","0"
"10-17 years","Heard","54","0","1"
"18-29 years","Heard","95","0","1"
"30-39 years","Heard","56","0","1"
"40-49 years","Heard","100","0","5"
"50-59 years","Heard","85","0","5"
"60-69 years","Heard","67","3","7"
"70-79 years","Heard","45","5","13"
"80 & Older years","Heard","20","4","2"
"<1 years","Heard","4","0","0"
"Unknown years","Heard","1","0","0"
"01-04 years","Henry","182","0","5"
"05-09 years","Henry","291","0","1"
"10-17 years","Henry","1110","0","10"
"18-29 years","Henry","3131","1","25"
"30-39 years","Henry","2558","6","38"
"40-49 years","Henry","2858","11","74"
"50-59 years","Henry","2786","15","101"
"60-69 years","Henry","1565","44","75"
"70-79 years","Henry","775","61","63"
"80 & Older years","Henry","403","66","45"
"<1 years","Henry","38","0","2"
"Unknown years","Henry","34","0","0"
"01-04 years","Houston","86","0","2"
"05-09 years","Houston","131","0","1"
"10-17 years","Houston","610","0","3"
"18-29 years","Houston","1903","3","32"
"30-39 years","Houston","1628","2","52"
"40-49 years","Houston","1520","4","80"
"50-59 years","Houston","1311","12","89"
"60-69 years","Houston","850","34","124"
"70-79 years","Houston","478","50","127"
"80 & Older years","Houston","261","41","81"
"<1 years","Houston","21","0","2"
"Unknown years","Houston","5","0","0"
"01-04 years","Irwin","6","0","0"
"05-09 years","Irwin","10","0","0"
"10-17 years","Irwin","51","0","0"
"18-29 years","Irwin","111","0","4"
"30-39 years","Irwin","94","0","4"
"40-49 years","Irwin","112","1","9"
"50-59 years","Irwin","101","2","11"
"60-69 years","Irwin","81","1","21"
"70-79 years","Irwin","48","5","7"
"80 & Older years","Irwin","34","6","18"
"01-04 years","Jackson","55","0","0"
"05-09 years","Jackson","138","0","2"
"10-17 years","Jackson","667","0","3"
"18-29 years","Jackson","1349","2","16"
"30-39 years","Jackson","1172","1","19"
"40-49 years","Jackson","1277","6","49"
"50-59 years","Jackson","1199","4","65"
"60-69 years","Jackson","804","19","68"
"70-79 years","Jackson","551","27","95"
"80 & Older years","Jackson","295","43","90"
"<1 years","Jackson","14","0","2"
"Unknown years","Jackson","41","0","1"
"01-04 years","Jasper","5","0","1"
"05-09 years","Jasper","6","0","0"
"10-17 years","Jasper","30","0","0"
"18-29 years","Jasper","105","0","3"
"30-39 years","Jasper","86","0","1"
"40-49 years","Jasper","85","0","3"
"50-59 years","Jasper","113","1","13"
"60-69 years","Jasper","84","7","12"
"70-79 years","Jasper","44","5","11"
"80 & Older years","Jasper","14","0","3"
"<1 years","Jasper","3","0","1"
"Unknown years","Jasper","1","0","0"
"01-04 years","Jeff Davis","28","0","1"
"05-09 years","Jeff Davis","28","0","0"
"10-17 years","Jeff Davis","106","0","2"
"18-29 years","Jeff Davis","227","0","4"
"30-39 years","Jeff Davis","197","0","9"
"40-49 years","Jeff Davis","190","0","11"
"50-59 years","Jeff Davis","174","7","19"
"60-69 years","Jeff Davis","119","6","22"
"70-79 years","Jeff Davis","79","12","17"
"80 & Older years","Jeff Davis","16","8","6"
"<1 years","Jeff Davis","2","0","1"
"Unknown years","Jeff Davis","7","0","0"
"01-04 years","Jefferson","17","0","0"
"05-09 years","Jefferson","31","0","0"
"10-17 years","Jefferson","93","0","1"
"18-29 years","Jefferson","224","0","3"
"30-39 years","Jefferson","180","0","7"
"40-49 years","Jefferson","201","3","12"
"50-59 years","Jefferson","253","4","21"
"60-69 years","Jefferson","229","11","29"
"70-79 years","Jefferson","148","14","37"
"80 & Older years","Jefferson","67","17","27"
"<1 years","Jefferson","4","0","0"
"Unknown years","Jefferson","9","0","0"
"01-04 years","Jenkins","14","0","0"
"05-09 years","Jenkins","20","0","0"
"10-17 years","Jenkins","58","0","0"
"18-29 years","Jenkins","101","0","2"
"30-39 years","Jenkins","81","1","6"
"40-49 years","Jenkins","107","3","10"
"50-59 years","Jenkins","112","6","16"
"60-69 years","Jenkins","81","5","11"
"70-79 years","Jenkins","55","12","21"
"80 & Older years","Jenkins","49","9","10"
"<1 years","Jenkins","2","0","0"
"Unknown years","Jenkins","2","0","1"
"01-04 years","Johnson","6","0","0"
"05-09 years","Johnson","7","0","0"
"10-17 years","Johnson","24","0","0"
"18-29 years","Johnson","104","0","2"
"30-39 years","Johnson","97","0","3"
"40-49 years","Johnson","87","1","7"
"50-59 years","Johnson","130","3","17"
"60-69 years","Johnson","119","7","18"
"70-79 years","Johnson","83","6","22"
"80 & Older years","Johnson","67","17","21"
"<1 years","Johnson","1","0","1"
"Unknown years","Johnson","2","0","0"
"01-04 years","Jones","6","0","0"
"05-09 years","Jones","21","0","0"
"10-17 years","Jones","78","0","0"
"18-29 years","Jones","312","0","6"
"30-39 years","Jones","224","1","7"
"40-49 years","Jones","202","2","9"
"50-59 years","Jones","240","1","20"
"60-69 years","Jones","161","3","25"
"70-79 years","Jones","104","10","33"
"80 & Older years","Jones","66","13","18"
"<1 years","Jones","3","0","0"
"Unknown years","Jones","1","0","0"
"01-04 years","Lamar","20","0","0"
"05-09 years","Lamar","38","0","0"
"10-17 years","Lamar","94","0","1"
"18-29 years","Lamar","177","0","1"
"30-39 years","Lamar","161","0","4"
"40-49 years","Lamar","156","1","4"
"50-59 years","Lamar","173","2","20"
"60-69 years","Lamar","153","6","17"
"70-79 years","Lamar","114","6","18"
"80 & Older years","Lamar","61","18","16"
"<1 years","Lamar","12","0","0"
"Unknown years","Lamar","10","0","0"
"01-04 years","Lanier","6","0","0"
"05-09 years","Lanier","10","0","1"
"10-17 years","Lanier","28","0","1"
"18-29 years","Lanier","96","1","1"
"30-39 years","Lanier","112","0","1"
"40-49 years","Lanier","69","1","2"
"50-59 years","Lanier","59","0","5"
"60-69 years","Lanier","37","1","2"
"70-79 years","Lanier","23","4","6"
"80 & Older years","Lanier","12","0","6"
"<1 years","Lanier","4","0","0"
"01-04 years","Laurens","25","0","0"
"05-09 years","Laurens","43","0","1"
"10-17 years","Laurens","215","0","2"
"18-29 years","Laurens","602","0","9"
"30-39 years","Laurens","510","1","17"
"40-49 years","Laurens","520","4","26"
"50-59 years","Laurens","546","9","57"
"60-69 years","Laurens","458","27","76"
"70-79 years","Laurens","307","40","73"
"80 & Older years","Laurens","217","47","57"
"<1 years","Laurens","3","0","0"
"Unknown years","Laurens","4","0","0"
"01-04 years","Lee","11","0","0"
"05-09 years","Lee","23","0","3"
"10-17 years","Lee","106","0","2"
"18-29 years","Lee","249","1","9"
"30-39 years","Lee","270","1","16"
"40-49 years","Lee","275","3","27"
"50-59 years","Lee","242","7","37"
"60-69 years","Lee","170","10","24"
"70-79 years","Lee","84","11","25"
"80 & Older years","Lee","45","7","15"
"<1 years","Lee","7","0","0"
"Unknown years","Lee","1","0","0"
"01-04 years","Liberty","31","0","1"
"05-09 years","Liberty","46","0","1"
"10-17 years","Liberty","188","0","2"
"18-29 years","Liberty","653","1","13"
"30-39 years","Liberty","409","0","13"
"40-49 years","Liberty","369","0","17"
"50-59 years","Liberty","343","5","33"
"60-69 years","Liberty","247","12","42"
"70-79 years","Liberty","107","11","38"
"80 & Older years","Liberty","59","11","25"
"<1 years","Liberty","22","0","1"
"Unknown years","Liberty","12","0","0"
"01-04 years","Lincoln","9","0","0"
"05-09 years","Lincoln","12","0","0"
"10-17 years","Lincoln","22","0","0"
"18-29 years","Lincoln","83","0","2"
"30-39 years","Lincoln","61","0","1"
"40-49 years","Lincoln","71","0","5"
"50-59 years","Lincoln","60","2","5"
"60-69 years","Lincoln","65","4","13"
"70-79 years","Lincoln","45","3","9"
"80 & Older years","Lincoln","21","7","8"
"<1 years","Lincoln","2","0","0"
"Unknown years","Lincoln","5","0","0"
"01-04 years","Long","12","0","0"
"05-09 years","Long","8","0","0"
"10-17 years","Long","45","0","0"
"18-29 years","Long","110","0","0"
"30-39 years","Long","122","0","2"
"40-49 years","Long","84","0","5"
"50-59 years","Long","76","1","9"
"60-69 years","Long","64","1","8"
"70-79 years","Long","35","5","13"
"80 & Older years","Long","20","2","7"
"<1 years","Long","4","0","0"
"Unknown years","Long","6","0","0"
"01-04 years","Lowndes","128","0","0"
"05-09 years","Lowndes","160","0","0"
"10-17 years","Lowndes","551","0","6"
"18-29 years","Lowndes","2122","4","27"
"30-39 years","Lowndes","1119","1","18"
"40-49 years","Lowndes","940","3","37"
"50-59 years","Lowndes","825","7","50"
"60-69 years","Lowndes","571","23","70"
"70-79 years","Lowndes","307","36","57"
"80 & Older years","Lowndes","188","44","51"
"<1 years","Lowndes","28","0","0"
"Unknown years","Lowndes","19","0","0"
"01-04 years","Lumpkin","15","0","0"
"05-09 years","Lumpkin","29","0","2"
"10-17 years","Lumpkin","120","0","2"
"18-29 years","Lumpkin","643","0","10"
"30-39 years","Lumpkin","315","0","9"
"40-49 years","Lumpkin","309","1","15"
"50-59 years","Lumpkin","348","4","39"
"60-69 years","Lumpkin","342","8","49"
"70-79 years","Lumpkin","249","7","59"
"80 & Older years","Lumpkin","128","28","65"
"<1 years","Lumpkin","7","0","1"
"Unknown years","Lumpkin","48","0","2"
"01-04 years","Macon","7","0","0"
"05-09 years","Macon","9","0","0"
"10-17 years","Macon","21","0","0"
"18-29 years","Macon","90","0","3"
"30-39 years","Macon","65","0","4"
"40-49 years","Macon","99","1","7"
"50-59 years","Macon","103","4","12"
"60-69 years","Macon","71","5","21"
"70-79 years","Macon","50","3","15"
"80 & Older years","Macon","18","5","6"
"<1 years","Macon","3","0","0"
"Unknown years","Macon","4","0","1"
"01-04 years","Madison","39","0","0"
"05-09 years","Madison","49","0","0"
"10-17 years","Madison","203","0","0"
"18-29 years","Madison","428","0","2"
"30-39 years","Madison","371","0","5"
"40-49 years","Madison","367","0","14"
"50-59 years","Madison","396","3","21"
"60-69 years","Madison","284","7","33"
"70-79 years","Madison","172","11","32"
"80 & Older years","Madison","69","8","6"
"<1 years","Madison","17","0","3"
"Unknown years","Madison","14","0","0"
"01-04 years","Marion","6","0","0"
"05-09 years","Marion","5","0","0"
"10-17 years","Marion","34","0","0"
"18-29 years","Marion","54","0","1"
"30-39 years","Marion","38","0","2"
"40-49 years","Marion","54","1","5"
"50-59 years","Marion","57","3","5"
"60-69 years","Marion","40","3","4"
"70-79 years","Marion","28","1","5"
"80 & Older years","Marion","27","2","7"
"<1 years","Marion","2","0","0"
"Unknown years","Marion","3","0","0"
"01-04 years","McDuffie","23","0","0"
"05-09 years","McDuffie","27","0","0"
"10-17 years","McDuffie","101","0","0"
"18-29 years","McDuffie","286","0","4"
"30-39 years","McDuffie","229","2","4"
"40-49 years","McDuffie","224","2","12"
"50-59 years","McDuffie","225","2","23"
"60-69 years","McDuffie","180","8","24"
"70-79 years","McDuffie","108","7","39"
"80 & Older years","McDuffie","46","10","23"
"Unknown years","McDuffie","33","0","1"
"01-04 years","McIntosh","1","0","0"
"05-09 years","McIntosh","8","0","0"
"10-17 years","McIntosh","35","0","0"
"18-29 years","McIntosh","91","0","2"
"30-39 years","McIntosh","71","0","3"
"40-49 years","McIntosh","75","0","4"
"50-59 years","McIntosh","104","0","2"
"60-69 years","McIntosh","82","2","17"
"70-79 years","McIntosh","58","3","13"
"80 & Older years","McIntosh","20","5","7"
"<1 years","McIntosh","1","0","0"
"Unknown years","McIntosh","3","0","0"
"01-04 years","Meriwether","21","0","1"
"05-09 years","Meriwether","22","0","1"
"10-17 years","Meriwether","72","0","1"
"18-29 years","Meriwether","187","0","6"
"30-39 years","Meriwether","152","2","13"
"40-49 years","Meriwether","199","2","14"
"50-59 years","Meriwether","202","4","14"
"60-69 years","Meriwether","189","4","22"
"70-79 years","Meriwether","157","9","28"
"80 & Older years","Meriwether","83","10","14"
"<1 years","Meriwether","3","0","0"
"Unknown years","Meriwether","6","0","0"
"01-04 years","Miller","8","0","0"
"05-09 years","Miller","8","0","0"
"10-17 years","Miller","59","0","1"
"18-29 years","Miller","99","0","1"
"30-39 years","Miller","91","0","0"
"40-49 years","Miller","70","0","5"
"50-59 years","Miller","117","2","10"
"60-69 years","Miller","79","2","5"
"70-79 years","Miller","27","0","2"
"80 & Older years","Miller","23","0","6"
"<1 years","Miller","3","0","0"
"01-04 years","Mitchell","18","0","0"
"05-09 years","Mitchell","22","0","0"
"10-17 years","Mitchell","76","0","1"
"18-29 years","Mitchell","229","0","9"
"30-39 years","Mitchell","205","1","15"
"40-49 years","Mitchell","202","3","17"
"50-59 years","Mitchell","237","9","51"
"60-69 years","Mitchell","199","14","46"
"70-79 years","Mitchell","127","17","43"
"80 & Older years","Mitchell","95","24","29"
"<1 years","Mitchell","6","0","0"
"Unknown years","Mitchell","6","0","1"
"01-04 years","Monroe","9","0","0"
"05-09 years","Monroe","20","0","1"
"10-17 years","Monroe","75","0","0"
"18-29 years","Monroe","262","0","3"
"30-39 years","Monroe","219","0","6"
"40-49 years","Monroe","254","2","18"
"50-59 years","Monroe","286","3","22"
"60-69 years","Monroe","263","16","40"
"70-79 years","Monroe","154","19","39"
"80 & Older years","Monroe","113","34","28"
"<1 years","Monroe","3","0","1"
"01-04 years","Montgomery","9","0","0"
"05-09 years","Montgomery","6","0","0"
"10-17 years","Montgomery","46","0","1"
"18-29 years","Montgomery","149","0","1"
"30-39 years","Montgomery","89","1","3"
"40-49 years","Montgomery","118","0","2"
"50-59 years","Montgomery","93","2","5"
"60-69 years","Montgomery","89","5","12"
"70-79 years","Montgomery","50","6","9"
"80 & Older years","Montgomery","23","5","6"
"<1 years","Montgomery","1","0","0"
"Unknown years","Montgomery","2","0","0"
"01-04 years","Morgan","16","0","0"
"05-09 years","Morgan","19","0","1"
"10-17 years","Morgan","81","0","0"
"18-29 years","Morgan","194","0","4"
"30-39 years","Morgan","147","0","6"
"40-49 years","Morgan","151","0","4"
"50-59 years","Morgan","169","1","11"
"60-69 years","Morgan","116","1","8"
"70-79 years","Morgan","89","2","14"
"80 & Older years","Morgan","49","6","16"
"<1 years","Morgan","13","0","2"
"Unknown years","Morgan","2","0","0"
"01-04 years","Murray","53","0","2"
"05-09 years","Murray","80","0","2"
"10-17 years","Murray","345","0","1"
"18-29 years","Murray","745","0","6"
"30-39 years","Murray","506","1","7"
"40-49 years","Murray","633","0","21"
"50-59 years","Murray","564","5","37"
"60-69 years","Murray","371","6","54"
"70-79 years","Murray","230","22","46"
"80 & Older years","Murray","98","18","24"
"<1 years","Murray","19","0","2"
"Unknown years","Murray","5","0","0"
"01-04 years","Muscogee","180","0","5"
"05-09 years","Muscogee","264","0","0"
"10-17 years","Muscogee","744","0","7"
"18-29 years","Muscogee","2840","3","51"
"30-39 years","Muscogee","1896","2","73"
"40-49 years","Muscogee","1669","4","84"
"50-59 years","Muscogee","1697","33","171"
"60-69 years","Muscogee","1311","60","222"
"70-79 years","Muscogee","756","73","163"
"80 & Older years","Muscogee","468","91","131"
"<1 years","Muscogee","61","0","3"
"Unknown years","Muscogee","53","0","1"
"01-04 years","Newton","72","0","2"
"05-09 years","Newton","112","0","1"
"10-17 years","Newton","382","0","7"
"18-29 years","Newton","1180","1","34"
"30-39 years","Newton","1016","0","47"
"40-49 years","Newton","1159","4","80"
"50-59 years","Newton","1098","13","104"
"60-69 years","Newton","625","29","89"
"70-79 years","Newton","430","43","74"
"80 & Older years","Newton","270","71","64"
"<1 years","Newton","18","0","1"
"Unknown years","Newton","14","0","0"
"01-04 years","Non-GA Resident/Unknown State","235","0","2"
"05-09 years","Non-GA Resident/Unknown State","389","0","5"
"10-17 years","Non-GA Resident/Unknown State","1319","0","7"
"18-29 years","Non-GA Resident/Unknown State","5623","4","61"
"30-39 years","Non-GA Resident/Unknown State","3917","3","82"
"40-49 years","Non-GA Resident/Unknown State","3375","9","90"
"50-59 years","Non-GA Resident/Unknown State","3263","38","187"
"60-69 years","Non-GA Resident/Unknown State","2265","84","242"
"70-79 years","Non-GA Resident/Unknown State","1457","87","245"
"80 & Older years","Non-GA Resident/Unknown State","830","111","172"
"<1 years","Non-GA Resident/Unknown State","134","0","2"
"Unknown years","Non-GA Resident/Unknown State","947","3","3"
"01-04 years","Oconee","30","0","0"
"05-09 years","Oconee","50","0","0"
"10-17 years","Oconee","242","0","0"
"18-29 years","Oconee","498","0","3"
"30-39 years","Oconee","307","0","4"
"40-49 years","Oconee","469","1","10"
"50-59 years","Oconee","395","3","10"
"60-69 years","Oconee","268","9","27"
"70-79 years","Oconee","158","14","23"
"80 & Older years","Oconee","121","22","35"
"<1 years","Oconee","6","0","0"
"Unknown years","Oconee","5","1","0"
"01-04 years","Oglethorpe","16","0","0"
"05-09 years","Oglethorpe","23","0","0"
"10-17 years","Oglethorpe","79","0","1"
"18-29 years","Oglethorpe","185","0","1"
"30-39 years","Oglethorpe","128","1","1"
"40-49 years","Oglethorpe","159","1","5"
"50-59 years","Oglethorpe","154","1","18"
"60-69 years","Oglethorpe","131","0","13"
"70-79 years","Oglethorpe","97","3","12"
"80 & Older years","Oglethorpe","65","11","14"
"<1 years","Oglethorpe","7","0","0"
"Unknown years","Oglethorpe","6","0","0"
"01-04 years","Paulding","113","0","2"
"05-09 years","Paulding","225","0","0"
"10-17 years","Paulding","849","0","6"
"18-29 years","Paulding","1696","0","17"
"30-39 years","Paulding","1402","2","21"
"40-49 years","Paulding","1563","3","24"
"50-59 years","Paulding","1487","12","50"
"60-69 years","Paulding","775","25","55"
"70-79 years","Paulding","434","33","53"
"80 & Older years","Paulding","278","57","48"
"<1 years","Paulding","25","0","0"
"Unknown years","Paulding","38","1","0"
"01-04 years","Peach","12","0","2"
"05-09 years","Peach","17","0","0"
"10-17 years","Peach","62","0","1"
"18-29 years","Peach","354","1","8"
"30-39 years","Peach","273","0","15"
"40-49 years","Peach","218","3","16"
"50-59 years","Peach","281","6","38"
"60-69 years","Peach","229","7","44"
"70-79 years","Peach","108","9","31"
"80 & Older years","Peach","54","12","24"
"<1 years","Peach","4","0","0"
"Unknown years","Peach","1","0","0"
"01-04 years","Pickens","18","0","1"
"05-09 years","Pickens","31","0","0"
"10-17 years","Pickens","120","0","0"
"18-29 years","Pickens","335","0","5"
"30-39 years","Pickens","281","0","10"
"40-49 years","Pickens","340","0","12"
"50-59 years","Pickens","379","3","22"
"60-69 years","Pickens","296","4","31"
"70-79 years","Pickens","242","13","45"
"80 & Older years","Pickens","106","20","30"
"<1 years","Pickens","2","0","0"
"Unknown years","Pickens","8","0","0"
"01-04 years","Pierce","10","0","0"
"05-09 years","Pierce","20","0","0"
"10-17 years","Pierce","76","1","1"
"18-29 years","Pierce","210","0","5"
"30-39 years","Pierce","136","0","3"
"40-49 years","Pierce","183","0","12"
"50-59 years","Pierce","174","4","20"
"60-69 years","Pierce","139","9","34"
"70-79 years","Pierce","105","9","27"
"80 & Older years","Pierce","53","11","13"
"<1 years","Pierce","6","0","1"
"Unknown years","Pierce","10","0","0"
"01-04 years","Pike","24","0","0"
"05-09 years","Pike","22","0","0"
"10-17 years","Pike","103","0","1"
"18-29 years","Pike","140","0","4"
"30-39 years","Pike","121","0","2"
"40-49 years","Pike","168","2","9"
"50-59 years","Pike","133","3","7"
"60-69 years","Pike","92","2","16"
"70-79 years","Pike","77","7","14"
"80 & Older years","Pike","28","5","6"
"<1 years","Pike","1","0","0"
"Unknown years","Pike","3","0","0"
"01-04 years","Polk","37","0","1"
"05-09 years","Polk","65","0","0"
"10-17 years","Polk","292","0","2"
"18-29 years","Polk","728","0","10"
"30-39 years","Polk","505","0","10"
"40-49 years","Polk","531","1","37"
"50-59 years","Polk","543","11","64"
"60-69 years","Polk","343","11","60"
"70-79 years","Polk","282","19","75"
"80 & Older years","Polk","129","20","49"
"<1 years","Polk","15","0","0"
"Unknown years","Polk","30","0","0"
"01-04 years","Pulaski","5","0","0"
"05-09 years","Pulaski","8","0","0"
"10-17 years","Pulaski","33","0","1"
"18-29 years","Pulaski","70","0","1"
"30-39 years","Pulaski","79","0","2"
"40-49 years","Pulaski","77","0","7"
"50-59 years","Pulaski","94","0","6"
"60-69 years","Pulaski","90","5","11"
"70-79 years","Pulaski","46","11","16"
"80 & Older years","Pulaski","37","10","5"
"<1 years","Pulaski","3","0","0"
"01-04 years","Putnam","20","0","0"
"05-09 years","Putnam","40","0","0"
"10-17 years","Putnam","99","0","2"
"18-29 years","Putnam","253","0","2"
"30-39 years","Putnam","199","0","5"
"40-49 years","Putnam","196","1","5"
"50-59 years","Putnam","257","2","16"
"60-69 years","Putnam","230","11","24"
"70-79 years","Putnam","174","14","41"
"80 & Older years","Putnam","77","14","27"
"<1 years","Putnam","6","0","1"
"01-04 years","Quitman","1","0","0"
"05-09 years","Quitman","4","0","0"
"10-17 years","Quitman","4","0","0"
"18-29 years","Quitman","11","0","0"
"30-39 years","Quitman","4","0","1"
"40-49 years","Quitman","3","0","1"
"50-59 years","Quitman","14","0","1"
"60-69 years","Quitman","22","1","4"
"70-79 years","Quitman","3","0","1"
"80 & Older years","Quitman","4","0","1"
"<1 years","Quitman","2","0","0"
"Unknown years","Quitman","1","0","0"
"01-04 years","Rabun","13","0","0"
"05-09 years","Rabun","17","0","0"
"10-17 years","Rabun","86","0","0"
"18-29 years","Rabun","191","0","5"
"30-39 years","Rabun","166","1","10"
"40-49 years","Rabun","170","0","7"
"50-59 years","Rabun","204","3","24"
"60-69 years","Rabun","205","7","30"
"70-79 years","Rabun","157","11","34"
"80 & Older years","Rabun","74","11","28"
"<1 years","Rabun","5","0","1"
"Unknown years","Rabun","80","0","2"
"01-04 years","Randolph","2","0","0"
"05-09 years","Randolph","5","0","0"
"10-17 years","Randolph","9","0","0"
"18-29 years","Randolph","54","0","1"
"30-39 years","Randolph","62","2","4"
"40-49 years","Randolph","50","0","4"
"50-59 years","Randolph","85","3","19"
"60-69 years","Randolph","65","7","15"
"70-79 years","Randolph","46","3","13"
"80 & Older years","Randolph","47","15","16"
"<1 years","Randolph","1","0","0"
"Unknown years","Randolph","2","0","0"
"01-04 years","Richmond","241","0","1"
"05-09 years","Richmond","450","0","3"
