"age group","county name","cases","deaths","hospitalization"
"05-09 years","Brooks","19","0","0"
"10-17 years","Brooks","79","0","0"
"18-29 years","Brooks","165","0","0"
"30-39 years","Brooks","117","0","2"
"40-49 years","Brooks","112","1","11"
"50-59 years","Brooks","135","2","19"
"60-69 years","Brooks","97","6","14"
"70-79 years","Brooks","78","10","19"
"80 & Older years","Brooks","55","14","15"
"<1 years","Brooks","3","0","0"
"Unknown years","Brooks","1","0","0"
"01-04 years","Bryan","39","0","0"
"05-09 years","Bryan","62","0","0"
"10-17 years","Bryan","206","0","2"
"18-29 years","Bryan","454","0","8"
"30-39 years","Bryan","354","1","8"
"40-49 years","Bryan","390","0","13"
"50-59 years","Bryan","305","4","27"
"60-69 years","Bryan","212","6","25"
"70-79 years","Bryan","142","7","43"
"80 & Older years","Bryan","57","5","20"
"<1 years","Bryan","12","0","0"
"Unknown years","Bryan","3","0","0"
"01-04 years","Bulloch","53","0","0"
"05-09 years","Bulloch","88","0","0"
"10-17 years","Bulloch","302","0","2"
"18-29 years","Bulloch","2095","0","7"
"30-39 years","Bulloch","565","4","20"
"40-49 years","Bulloch","488","2","24"
"50-59 years","Bulloch","462","5","25"
"60-69 years","Bulloch","346","13","38"
"70-79 years","Bulloch","177","11","33"
"80 & Older years","Bulloch","98","11","32"
"<1 years","Bulloch","20","0","2"
"Unknown years","Bulloch","10","0","1"
"01-04 years","Burke","19","0","0"
"05-09 years","Burke","41","0","0"
"10-17 years","Burke","120","0","1"
"18-29 years","Burke","311","1","7"
"30-39 years","Burke","236","1","7"
"40-49 years","Burke","261","2","13"
"50-59 years","Burke","243","1","29"
"60-69 years","Burke","189","5","34"
"70-79 years","Burke","113","10","27"
"80 & Older years","Burke","35","7","13"
"<1 years","Burke","5","0","0"
"Unknown years","Burke","3","0","0"
"01-04 years","Butts","21","0","3"
"05-09 years","Butts","22","0","0"
"10-17 years","Butts","94","0","1"
"18-29 years","Butts","326","0","6"
"30-39 years","Butts","286","0","7"
"40-49 years","Butts","281","3","13"
"50-59 years","Butts","309","5","20"
"60-69 years","Butts","226","12","28"
"70-79 years","Butts","162","17","20"
"80 & Older years","Butts","103","24","6"
"<1 years","Butts","5","0","1"
"Unknown years","Butts","1","0","0"
"01-04 years","Calhoun","6","0","0"
"05-09 years","Calhoun","1","0","0"
"10-17 years","Calhoun","32","0","0"
"18-29 years","Calhoun","66","0","5"
"30-39 years","Calhoun","55","2","6"
"40-49 years","Calhoun","78","1","9"
"50-59 years","Calhoun","74","2","14"
"60-69 years","Calhoun","69","2","18"
"70-79 years","Calhoun","24","3","8"
"80 & Older years","Calhoun","15","2","7"
"<1 years","Calhoun","3","0","0"
"Unknown years","Calhoun","1","0","0"
"01-04 years","Camden","41","0","0"
"05-09 years","Camden","38","0","1"
"10-17 years","Camden","195","0","1"
"18-29 years","Camden","707","0","4"
"30-39 years","Camden","457","0","12"
"40-49 years","Camden","367","1","11"
"50-59 years","Camden","424","1","16"
"60-69 years","Camden","323","7","22"
"70-79 years","Camden","188","2","22"
"80 & Older years","Camden","85","13","21"
"<1 years","Camden","9","0","1"
"Unknown years","Camden","6","0","0"
"01-04 years","Candler","8","0","0"
"05-09 years","Candler","12","0","0"
"10-17 years","Candler","53","0","0"
"18-29 years","Candler","125","0","0"
"30-39 years","Candler","90","0","2"
"40-49 years","Candler","112","2","1"
"50-59 years","Candler","119","5","10"
"60-69 years","Candler","92","7","13"
"70-79 years","Candler","59","12","17"
"80 & Older years","Candler","27","5","11"
"<1 years","Candler","4","0","0"
"Unknown years","Candler","1","0","0"
"01-04 years","Carroll","77","0","1"
"05-09 years","Carroll","119","0","1"
"10-17 years","Carroll","545","0","6"
"18-29 years","Carroll","1565","0","11"
"30-39 years","Carroll","964","4","18"
"40-49 years","Carroll","925","4","25"
"50-59 years","Carroll","961","10","52"
"60-69 years","Carroll","679","21","64"
"70-79 years","Carroll","412","30","58"
"80 & Older years","Carroll","254","45","40"
"<1 years","Carroll","25","0","0"
"Unknown years","Carroll","21","0","0"
"01-04 years","Catoosa","68","0","0"
"05-09 years","Catoosa","110","0","1"
"10-17 years","Catoosa","404","0","1"
"18-29 years","Catoosa","855","0","7"
"30-39 years","Catoosa","628","1","9"
"40-49 years","Catoosa","731","1","13"
"50-59 years","Catoosa","685","5","25"
"60-69 years","Catoosa","490","5","44"
"70-79 years","Catoosa","313","14","42"
"80 & Older years","Catoosa","219","25","40"
"<1 years","Catoosa","28","0","1"
"Unknown years","Catoosa","117","0","8"
"01-04 years","Charlton","12","0","0"
"05-09 years","Charlton","24","0","0"
"10-17 years","Charlton","57","0","0"
"18-29 years","Charlton","173","0","1"
"30-39 years","Charlton","194","0","4"
"40-49 years","Charlton","171","2","8"
"50-59 years","Charlton","137","1","4"
"60-69 years","Charlton","135","4","16"
"70-79 years","Charlton","49","4","9"
"80 & Older years","Charlton","26","4","11"
"<1 years","Charlton","2","0","0"
"Unknown years","Charlton","1","0","0"
"01-04 years","Chatham","322","0","3"
"05-09 years","Chatham","381","1","1"
"10-17 years","Chatham","1110","0","13"
"18-29 years","Chatham","4221","2","52"
"30-39 years","Chatham","2956","4","102"
"40-49 years","Chatham","2368","11","130"
"50-59 years","Chatham","2149","29","202"
"60-69 years","Chatham","1740","53","294"
"70-79 years","Chatham","931","85","286"
"80 & Older years","Chatham","593","114","237"
"<1 years","Chatham","86","0","4"
"Unknown years","Chatham","25","0","0"
"01-04 years","Chattahoochee","8","0","0"
"05-09 years","Chattahoochee","7","0","0"
"10-17 years","Chattahoochee","109","0","2"
"18-29 years","Chattahoochee","2027","1","1"
"30-39 years","Chattahoochee","206","1","3"
"40-49 years","Chattahoochee","50","0","0"
"50-59 years","Chattahoochee","22","0","5"
"60-69 years","Chattahoochee","17","0","4"
"70-79 years","Chattahoochee","6","0","2"
"80 & Older years","Chattahoochee","7","1","3"
"<1 years","Chattahoochee","9","0","0"
"Unknown years","Chattahoochee","1","0","0"
"01-04 years","Chattooga","10","0","0"
"05-09 years","Chattooga","23","0","0"
"10-17 years","Chattooga","169","0","1"
"18-29 years","Chattooga","343","0","4"
"30-39 years","Chattooga","272","0","6"
"40-49 years","Chattooga","300","1","9"
"50-59 years","Chattooga","302","5","15"
"60-69 years","Chattooga","259","13","34"
"70-79 years","Chattooga","158","14","38"
"80 & Older years","Chattooga","112","20","26"
"<1 years","Chattooga","9","0","1"
"Unknown years","Chattooga","24","0","1"
"01-04 years","Cherokee","185","0","7"
"05-09 years","Cherokee","459","0","7"
"10-17 years","Cherokee","1811","0","12"
"18-29 years","Cherokee","3684","1","64"
"30-39 years","Cherokee","2613","2","87"
"40-49 years","Cherokee","2931","4","103"
"50-59 years","Cherokee","2942","15","167"
"60-69 years","Cherokee","1756","31","194"
"70-79 years","Cherokee","1168","53","207"
"80 & Older years","Cherokee","757","100","194"
"<1 years","Cherokee","35","0","1"
"Unknown years","Cherokee","76","0","2"
"01-04 years","Clarke","148","0","1"
"05-09 years","Clarke","180","0","1"
"10-17 years","Clarke","520","0","5"
"18-29 years","Clarke","5445","1","30"
"30-39 years","Clarke","1413","2","32"
"40-49 years","Clarke","1150","2","44"
"50-59 years","Clarke","1036","6","56"
"60-69 years","Clarke","693","13","81"
"70-79 years","Clarke","414","36","93"
"80 & Older years","Clarke","226","34","58"
"<1 years","Clarke","35","0","2"
"Unknown years","Clarke","46","0","0"
"01-04 years","Clay","3","0","0"
"05-09 years","Clay","2","0","0"
"10-17 years","Clay","15","0","0"
"18-29 years","Clay","26","0","0"
"30-39 years","Clay","28","0","1"
"40-49 years","Clay","25","0","0"
"50-59 years","Clay","17","0","1"
"60-69 years","Clay","23","1","2"
"70-79 years","Clay","18","0","0"
"80 & Older years","Clay","14","2","5"
"Unknown years","Clay","1","0","0"
"01-04 years","Clayton","313","0","7"
"05-09 years","Clayton","442","1","8"
"10-17 years","Clayton","1161","0","22"
"18-29 years","Clayton","3884","5","90"
"30-39 years","Clayton","3367","6","132"
"40-49 years","Clayton","3060","23","165"
"50-59 years","Clayton","2876","39","231"
"60-69 years","Clayton","1822","78","216"
"70-79 years","Clayton","790","74","149"
"80 & Older years","Clayton","416","82","100"
"<1 years","Clayton","64","0","2"
"Unknown years","Clayton","58","0","2"
"01-04 years","Clinch","12","0","0"
"05-09 years","Clinch","19","0","0"
"10-17 years","Clinch","73","0","0"
"18-29 years","Clinch","126","0","2"
"30-39 years","Clinch","97","1","4"
"40-49 years","Clinch","91","0","3"
"50-59 years","Clinch","90","2","13"
"60-69 years","Clinch","99","6","14"
"70-79 years","Clinch","51","8","18"
"80 & Older years","Clinch","17","3","5"
"<1 years","Clinch","2","0","0"
"Unknown years","Clinch","1","0","0"
"01-04 years","Cobb","598","1","13"
"05-09 years","Cobb","1079","0","8"
"10-17 years","Cobb","3533","0","30"
"18-29 years","Cobb","13061","4","215"
"30-39 years","Cobb","8687","12","221"
"40-49 years","Cobb","8213","27","358"
"50-59 years","Cobb","7362","48","471"
"60-69 years","Cobb","4489","108","455"
"70-79 years","Cobb","2534","220","435"
"80 & Older years","Cobb","1581","303","390"
"<1 years","Cobb","163","0","9"
"Unknown years","Cobb","368","0","3"
"01-04 years","Coffee","73","0","2"
"05-09 years","Coffee","90","0","4"
"10-17 years","Coffee","266","0","3"
"18-29 years","Coffee","771","0","21"
"30-39 years","Coffee","572","3","39"
"40-49 years","Coffee","658","3","85"
"50-59 years","Coffee","643","5","114"
"60-69 years","Coffee","506","27","123"
"70-79 years","Coffee","274","32","113"
"80 & Older years","Coffee","145","32","80"
"<1 years","Coffee","12","0","0"
"Unknown years","Coffee","1","0","0"
"01-04 years","Colquitt","41","0","0"
"05-09 years","Colquitt","84","0","1"
"10-17 years","Colquitt","296","0","4"
"18-29 years","Colquitt","656","0","16"
