county_name,cases,county_id,State FIPS code,County FIPS code,population,hospitalization,deaths,case rate,death rate,14 day case rate,14 day cases,antigen_cases,probable_deaths
Hart,1567,US-13147,13,147,26107,105,32,6002.22,122.57,394.53,103,532,14
Heard,546,US-13149,13,149,12370,35,12,4413.9,97.01,355.7,44,192,3
Henry,15731,US-13151,13,151,239866,439,204,6558.25,85.05,612.01,1468,3857,19
Houston,8804,US-13153,13,153,157039,593,146,5606.25,92.97,448.3,704,3426,42
Irwin,648,US-13155,13,155,9433,74,15,6869.5,159.02,286.23,27,200,10
Jackson,7562,US-13157,13,157,74700,410,102,10123.16,136.55,975.9,729,910,10
Jasper,576,US-13159,13,159,14199,48,13,4056.62,91.56,288.75,41,618,14
Jeff Davis,1173,US-13161,13,161,15148,92,33,7743.6,217.85,455.51,69,477,6
Jefferson,1456,US-13163,13,163,15313,137,49,9508.26,319.99,470.19,72,273,3
Jenkins,682,US-13165,13,165,8576,77,36,7952.43,419.78,548.04,47,103,1
Johnson,727,US-13167,13,167,9661,91,34,7525.1,351.93,579.65,56,305,4
Jones,1418,US-13169,13,169,28591,118,30,4959.6,104.93,454.69,130,303,3
Lamar,1169,US-13171,13,171,19347,81,33,6042.28,170.57,589.24,114,584,8
Lanier,456,US-13173,13,173,10351,25,7,4405.37,67.63,125.59,13,237,3
Laurens,3450,US-13175,13,175,47296,318,128,7294.49,270.64,473.61,224,1701,14
Lee,1483,US-13177,13,177,29971,158,40,4948.12,133.46,437.09,131,960,5
Liberty,2486,US-13179,13,179,61904,186,40,4015.9,64.62,571.85,354,342,1
Lincoln,456,US-13181,13,181,8125,43,16,5612.31,196.92,516.92,42,225,2
Long,586,US-13183,13,183,19915,44,9,2942.51,45.19,381.62,76,140,1
Lowndes,6958,US-13185,13,185,117878,316,118,5902.71,100.1,217.17,256,3933,51
Lumpkin,2553,US-13187,13,187,33802,253,48,7552.81,142,446.72,151,90,1
Macon,540,US-13193,13,193,12988,69,18,4157.68,138.59,485.06,63,183,3
Madison,2409,US-13195,13,195,30177,116,29,7982.9,96.1,838.39,253,410,9
Marion,348,US-13197,13,197,8293,29,10,4196.31,120.58,458.22,38,122,1
McDuffie,1482,US-13189,13,189,21597,130,31,6862.06,143.54,801.04,173,648,4
McIntosh,549,US-13191,13,191,14567,48,10,3768.79,68.65,254,37,122,2
Meriwether,1293,US-13199,13,199,21020,114,31,6151.28,147.48,742.15,156,386,4
Miller,584,US-13201,13,201,5764,30,4,10131.85,69.4,676.61,39,146,3
Mitchell,1422,US-13205,13,205,22056,212,68,6447.23,308.31,435.26,96,436,3
Monroe,1658,US-13207,13,207,27727,158,74,5979.73,266.89,497.71,138,515,9
Montgomery,675,US-13209,13,209,9224,39,19,7317.87,205.98,433.65,40,147,1
Morgan,1046,US-13211,13,211,19138,66,10,5465.57,52.25,423.24,81,616,3
Murray,3649,US-13213,13,213,40261,202,52,9063.36,129.16,881.75,355,557,3
Muscogee,11939,US-13215,13,215,191626,911,266,6230.37,138.81,522.37,1001,1439,15
Newton,6376,US-13217,13,217,112354,503,161,5674.92,143.3,513.56,577,2178,11
Non-GA Resident/Unknown State,23754,US-.,.,.,0,1098,339,0,0,0,1477,4330,102
Oconee,2549,US-13219,13,219,41737,112,50,6107.29,119.8,541.49,226,804,3
Oglethorpe,1050,US-13221,13,221,15240,65,17,6889.76,111.55,597.11,91,257,1
Paulding,8885,US-13223,13,223,172542,276,133,5149.47,77.08,446.85,771,4190,20
Peach,1613,US-13225,13,225,27375,179,38,5892.24,138.81,515.07,141,592,2
Pickens,2158,US-13227,13,227,33530,156,40,6436.03,119.3,626.3,210,652,13
Pierce,1122,US-13229,13,229,19545,116,34,5740.6,173.96,358.15,70,1078,10
Pike,912,US-13231,13,231,18860,59,19,4835.63,100.74,551.43,104,977,10
Polk,3500,US-13233,13,233,43482,308,62,8049.31,142.59,499.06,217,1371,4
Pulaski,542,US-13235,13,235,10893,49,26,4975.67,238.69,284.59,31,275,7
Putnam,1551,US-13237,13,237,21885,123,42,7087.05,191.91,589.44,129,291,0
Quitman,73,US-13239,13,239,2294,9,1,3182.21,43.59,435.92,10,75,0
Rabun,1368,US-13241,13,241,16986,141,33,8053.69,194.28,553.4,94,128,4
Randolph,428,US-13243,13,243,6754,72,30,6336.99,444.18,488.6,33,132,1
Richmond,17276,US-13245,13,245,202240,1124,301,8542.33,148.83,714,1444,3758,63
Rockdale,5028,US-13247,13,247,94960,655,103,5294.86,108.47,465.46,442,833,13
Schley,185,US-13249,13,249,5275,18,2,3507.11,37.91,189.57,10,96,0
Screven,724,US-13251,13,251,13900,58,15,5208.63,107.91,453.24,63,97,4
Seminole,687,US-13253,13,253,8140,56,14,8439.8,171.99,307.13,25,175,1
Spalding,3364,US-13255,13,255,69110,355,111,4867.6,160.61,402.26,278,1732,23
Stephens,2734,US-13257,13,257,26328,231,67,10384.38,254.48,664.69,175,81,2
Stewart,671,US-13259,13,259,6129,120,20,10947.95,326.32,310,19,95,0
Sumter,1699,US-13261,13,261,29399,246,81,5779.11,275.52,367.36,108,599,4
Talbot,341,US-13263,13,263,6158,34,13,5537.51,211.11,552.13,34,79,0
Taliaferro,93,US-13265,13,265,1632,8,0,5698.53,0,551.47,9,16,0
Tattnall,1683,US-13267,13,267,25411,102,33,6623.12,129.87,539.14,137,364,17
Taylor,455,US-13269,13,269,7958,64,19,5717.52,238.75,389.55,31,261,2
Telfair,674,US-13271,13,271,15644,62,39,4308.36,249.3,198.16,31,505,7
Terrell,511,US-13273,13,273,8467,101,36,6035.2,425.18,200.78,17,192,1
Thomas,3284,US-13275,13,275,44431,294,93,7391.24,209.31,625.69,278,728,7
Tift,3292,US-13277,13,277,40830,392,88,8062.7,215.53,271.86,111,1236,19
