UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2020,9,4075653,2084707,1990946,1509244,1436988,311204,302306,32519,31439,107482,101965,5718,5442,118540,112806,1618245,1540635,374143,362545,57150,55031,151239,143298,14420,13633,1537654,1463866,1034931,980737,284463,275955,17915,17053,102342,97033,3998,3790,94005,89298,1121725,1063111,335123,324349,33949,32385,138684,131342,10365,9751,547053,527080,474313,456251,26741,26351,14604,14386,5140,4932,1720,1652,24535,23508,496520,477524,39020,38196,23201,22646,12555,11956,4055,3882
R,7,2020,10,4071686,2078098,1993588,1494744,1428175,311886,303232,32996,32132,112515,107900,6045,5905,119912,116244,1605160,1534985,376075,366034,57523,56186,156566,150131,14627,14143,1534227,1469283,1028197,978391,282944,275304,17303,17127,106668,102338,4111,3986,95004,92137,1116066,1063407,334552,325672,33111,32792,143205,137450,10413,9982,543871,524305,466547,449784,28942,27928,15693,15005,5847,5562,1934,1919,24908,24107,489094,471578,41523,40362,24412,23394,13361,12681,4214,4161
R,7,2020,11,4070491,2076581,1993910,1493262,1427153,314786,307039,33051,31979,111933,108234,6226,6155,117323,113350,1600935,1531343,377868,368622,57077,54751,154799,149243,14551,14230,1538971,1476329,1033014,984163,285392,278500,17384,16935,105840,102447,4185,4154,93156,90130,1118899,1067398,336294,328322,32913,31589,141483,136658,10314,10101,537610,517581,460248,442990,29394,28539,15667,15044,6093,5787,2041,2001,24167,23220,482036,463945,41574,40300,24164,23162,13316,12585,4237,4129
R,7,2020,12,4198825,2142867,2055958,1543889,1473923,324689,316993,34383,33077,115892,111876,6475,6188,117539,113901,1651688,1578369,387811,379181,58359,56321,158801,152783,15065,14182,1587029,1523150,1066333,1016807,294723,288065,18013,17568,109948,106070,4386,4117,93626,90523,1152552,1100134,345923,338437,33579,32509,145743,140098,10690,10010,555838,532808,477556,457116,29966,28928,16370,15509,5944,5806,2089,2071,23913,23378,499136,478235,41888,40744,24780,23812,13058,12685,4375,4172
R,7,2020,13,4218675,2154910,2063765,1559322,1488058,325682,315584,34965,33290,114545,109953,6424,6301,113972,110579,1663874,1589280,386628,375287,58636,56327,156171,149769,14745,14335,1598774,1529750,1081135,1028340,296057,287270,18062,17717,108491,104276,4381,4232,90648,87915,1164671,1109117,345361,335742,33450,32584,143103,137460,10516,10131,556136,534015,478187,459718,29625,28314,16903,15573,6054,5677,2043,2069,23324,22664,499203,480163,41267,39545,25186,23743,13068,12309,4229,4204
R,7,2020,14,4186233,2138457,2047776,1558059,1483203,316820,309905,34230,32857,113551,110540,6330,6087,109467,105184,1658398,1579592,374504,365874,57435,55036,153896,148872,14308,13679,1592803,1524102,1086813,1031022,288546,282427,18047,17549,107730,105164,4299,4133,87368,83807,1167181,1108112,335444,327995,33151,31927,141538,137136,10215,9704,545654,523674,471246,452181,28274,27478,16183,15308,5821,5376,2031,1954,22099,21377,491217,471480,39060,37879,24284,23109,12358,11736,4093,3975
R,7,2020,15,4177019,2131957,2045062,1558554,1485038,313333,304700,33850,32938,115064,114402,6326,6118,104830,101866,1654438,1578014,367874,358197,56720,54917,153922,151755,13954,13492,1596180,1531528,1094938,1040800,285844,278150,17976,17550,109455,109121,4340,4283,83627,81624,1171734,1115536,330114,321849,32863,31891,142084,140592,9988,9807,535777,513534,463616,444238,27489,26550,15874,15388,5609,5281,1986,1835,21203,20242,482704,462478,37760,36348,23857,23026,11838,11163,3966,3685
R,7,2020,16,4189878,2137140,2052738,1569505,1496679,311170,303243,33051,32270,116049,116082,6130,5849,101235,98615,1662097,1586832,363129,354407,55450,54080,153777,152455,13593,13092,1612967,1547160,1114604,1058040,284657,277704,17867,17280,110546,110907,4292,4076,81001,79153,1188988,1130619,326955,319543,32658,31855,142277,141534,9870,9443,524173,505578,454901,438639,26513,25539,15184,14990,5503,5175,1838,1773,20234,19462,473109,456213,36174,34864,22792,22225,11500,10921,3723,3649
R,7,2020,17,4168573,2125584,2042989,1562999,1491156,309680,302340,32825,31666,117349,117627,6098,5857,96633,94343,1651097,1577316,359038,350530,54847,53283,153162,152561,13434,12746,1609210,1544413,1114307,1057569,283582,277614,17581,16990,111982,112445,4251,4121,77507,75674,1185217,1126950,323843,316969,32227,31428,142191,141832,9743,9343,516374,498576,448692,433587,26098,24726,15244,14676,5367,5182,1847,1736,19126,18669,465880,450366,35195,33561,22620,21855,10971,10729,3691,3403
R,7,2020,18,4164059,2123827,2040232,1560072,1487516,315610,307891,32740,31418,116316,116128,5924,5711,93165,91568,1644973,1570735,362968,355090,54531,53141,150617,149264,12956,12557,1611714,1547482,1114349,1058585,289777,283105,17742,17136,111139,111206,4179,3991,74528,73459,1182487,1125629,328415,321678,32165,31696,139960,139061,9512,9173,512113,492750,445723,428931,25833,24786,14998,14282,5177,4922,1745,1720,18637,18109,462486,445106,34553,33412,22366,21445,10657,10203,3444,3384
