UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,8,2020,28,4739251,2423226,2316025,1755231,1658133,384274,374417,36792,34291,164916,168038,7044,6610,74969,74536,1821477,1723862,416742,408049,60084,56923,193246,195982,13937,13383,1901591,1831336,1298024,1234046,358133,349642,21130,20128,159974,163048,5079,4862,59251,59610,1350319,1286642,383554,376470,37400,36226,184196,186896,10515,10113,521635,484689,457207,424087,26141,24775,15662,14163,4942,4990,1965,1748,15718,14926,471158,437220,33188,31579,22684,20697,9050,9086,3422,3270
R,8,2020,29,4829964,2455820,2374144,1779808,1697686,386785,384267,36872,33844,173129,178141,7749,6983,71477,73223,1842024,1761501,417046,417156,59099,55867,201288,206540,14897,14052,1937515,1894910,1327209,1280594,359832,358179,20981,19989,167821,172741,5648,5188,56024,58219,1375794,1331232,383221,384164,36335,35466,191845,196920,11263,10814,518305,479234,452599,417092,26953,26088,15891,13855,5308,5400,2101,1795,15453,15004,466230,430269,33825,32992,22764,20401,9443,9620,3634,3238
R,8,2020,30,4828971,2450349,2378622,1784197,1705178,379019,381098,36303,33140,176198,182844,7873,7166,66759,69196,1842446,1765672,406462,411516,57074,54442,203092,209573,14573,13782,1935208,1907526,1333882,1295317,352343,354826,20327,19643,170833,177619,5650,5350,52173,54771,1379204,1343067,373313,378589,34626,34531,193846,200481,10924,10602,515141,471096,450315,409861,26676,26272,15976,13497,5365,5225,2223,1816,14586,14425,463242,422605,33149,32927,22448,19911,9246,9092,3649,3180
R,8,2020,31,4638375,2352671,2285704,1719878,1638972,354278,360644,34601,31275,174691,183876,7652,6798,61571,64139,1773568,1694795,379139,388378,54177,50979,199417,209190,13784,13076,1862292,1840664,1291100,1251433,329033,335820,19085,18508,169668,178792,5600,5131,47806,50980,1332619,1295627,347678,357506,32408,32397,190877,200585,10490,10147,490379,445040,428778,387539,25245,24824,15516,12767,5023,5084,2052,1667,13765,13159,440949,399168,31461,30872,21769,18582,8540,8605,3294,2929
R,8,2020,32,4528045,2292679,2235366,1691645,1616722,331312,340518,33943,30498,170131,179964,7520,6822,58128,60842,1742101,1669746,354144,366510,52328,49336,194048,204080,13580,12815,1804826,1796178,1263821,1233926,307153,316354,18378,17702,165292,175128,5452,5139,44730,47929,1302474,1275616,324021,336295,30649,30841,185775,195798,10217,9938,487853,439188,427824,382796,24159,24164,15565,12796,4839,4836,2068,1683,13398,12913,439627,394130,30123,30215,21679,18495,8273,8282,3363,2877
R,8,2020,33,4431512,2244038,2187474,1668528,1589934,314955,326369,32573,29436,166139,176456,7470,6711,54373,58568,1715703,1640983,336251,351131,50230,48006,188364,199648,13113,12420,1765181,1755245,1247497,1212747,291805,302905,17467,17048,161386,171816,5356,4982,41670,45747,1283400,1252473,307405,321694,29282,29865,180434,191722,9879,9523,478857,432229,421031,377187,23150,23464,15106,12388,4753,4640,2114,1729,12703,12821,432303,388510,28846,29437,20948,18141,7930,7926,3234,2897
R,8,2020,34,4439053,2245109,2193944,1679397,1603756,306998,321252,32345,29439,166108,176780,7542,6774,52719,55943,1725156,1652219,327070,344469,49633,47726,187743,198891,13191,12399,1762884,1760497,1255018,1224835,283881,297886,16960,16785,161362,172262,5373,5113,40290,43616,1289813,1262432,298415,315453,28513,29543,179835,191150,9859,9625,482225,433447,424379,378921,23117,23366,15385,12654,4746,4518,2169,1661,12429,12327,435343,389787,28655,29016,21120,18183,7908,7741,3332,2774
R,8,2020,35,4465359,2251203,2214156,1690932,1622193,303751,320854,31807,29411,166190,179625,7463,6767,51060,55306,1735177,1670187,322871,343085,49060,47723,187051,201839,12981,12427,1767024,1777132,1264296,1239775,281058,297565,16422,16711,161528,175097,5266,5141,38454,42843,1297352,1276770,294639,313985,27772,29444,179283,194140,9626,9682,484179,437024,426636,382418,22693,23289,15385,12700,4662,4528,2197,1626,12606,12463,437825,393417,28232,29100,21288,18279,7768,7699,3355,2745
R,8,2020,36,4334103,2175766,2158337,1636309,1582224,288509,309718,31017,28745,164144,177838,7147,6540,48640,53272,1678412,1628346,306464,330569,47649,46759,184181,199554,12458,12127,1708209,1729381,1224009,1206370,266874,287342,16062,16205,159543,173515,5085,4883,36636,41066,1255506,1241752,279575,302608,27054,28675,176575,192031,9268,9337,467557,428956,412300,375854,21635,22376,14955,12540,4601,4323,2062,1657,12004,12206,422906,386594,26889,27961,20595,18084,7606,7523,3190,2790
R,8,2020,37,4363131,2185958,2177173,1649525,1598676,288016,311994,31304,29098,161372,177651,7186,6725,48555,53029,1691527,1644433,305835,332594,48032,47441,181279,199070,12491,12341,1715530,1742871,1234194,1218567,266530,288875,16055,16309,156851,173252,5170,5043,36730,40825,1265709,1253585,279117,303961,27277,29001,173774,191537,9378,9518,470428,434302,415331,380109,21486,23119,15249,12789,4521,4399,2016,1682,11825,12204,425818,390848,26718,28633,20755,18440,7505,7533,3113,2823
R,8,2020,38,4367909,2183529,2184380,1651945,1606386,286709,313565,30849,28537,159322,177283,7223,6672,47481,51937,1692999,1651127,304031,333963,47624,46742,178528,197957,12485,12177,1712656,1745524,1236208,1221431,265158,290573,15866,15777,154727,172729,5145,4937,35552,40077,1266679,1255758,277287,305572,27005,28487,170901,190340,9307,9343,470873,438856,415737,384955,21551,22992,14983,12760,4595,4554,2078,1735,11929,11860,426320,395369,26744,28391,20619,18255,7627,7617,3178,2834
R,8,2020,39,4304472,2147232,2157240,1631298,1590813,281925,310371,29781,28354,150865,170851,6992,6187,46371,50664,1671183,1634533,298813,330348,46384,46218,169539,190754,12153,11553,1687552,1725101,1225028,1211714,261187,287723,15172,15833,146333,166410,4979,4537,34853,38884,1254769,1245053,273042,302290,26289,28217,162133,183387,9048,8848,459680,432139,406270,379099,20738,22648,14609,12521,4532,4441,2013,1650,11518,11780,416414,389480,25771,28058,20095,18001,7406,7367,3105,2705
R,8,2020,40,4383150,2193746,2189404,1664005,1610150,293679,321868,30804,28650,151902,171714,7133,6438,46223,50584,1703867,1653708,310512,341788,47775,46759,170266,191470,12315,11881,1716801,1748865,1242613,1223249,272139,298862,15605,15979,147231,167226,4977,4788,34236,38761,1271875,1256353,283742,313338,26851,28635,162564,184005,9073,9167,476945,440539,421392,386901,21540,23006,15199,12671,4671,4488,2156,1650,11987,11823,431992,397355,26770,28450,20924,18124,7702,7465,3242,2714
R,8,2020,41,4129842,2058350,2071492,1564323,1524133,272799,303614,28446,26626,143830,164324,6277,5901,42675,46894,1601099,1564420,288217,321888,44116,43595,160758,182712,11085,10841,1620662,1658092,1177196,1161365,253046,281872,14660,14711,139649,160135,4408,4357,31703,35652,1204256,1191770,263682,294908,25045,26476,153909,175718,8196,8321,437688,413400,387127,362768,19753,21742,13786,11915,4181,4189,1869,1544,10972,11242,396843,372650,24535,26980,19071,17119,6849,6994,2889,2520
R,8,2020,42,4018563,1999314,2019249,1526119,1491510,260877,291741,27396,26247,138139,159239,6009,5558,40774,44954,1561113,1530013,275460,309049,42598,42864,154384,176849,10383,10239,1569411,1610618,1144910,1132238,241960,270793,14044,14429,134058,154995,4297,4099,30142,34064,1170469,1161159,251954,283079,24137,25945,147663,169946,7744,7861,429903,408631,381209,359272,18917,20948,13352,11818,4081,4244,1712,1459,10632,10890,390644,368854,23506,25970,18461,16919,6721,6903,2639,2378
R,8,2020,43,3984433,1976735,2007698,1511442,1484660,256233,289045,27482,26099,136532,158661,5845,5581,39201,43652,1545151,1521900,270107,305683,42380,42539,152008,175783,10159,10241,1552606,1599318,1134918,1124517,238021,268394,14285,14694,132319,154525,4129,4088,28934,33100,1159496,1152502,247377,280208,24294,26181,145250,168970,7510,7801,424129,408380,376524,360143,18212,20651,13197,11405,4213,4136,1716,1493,10267,10552,385655,369398,22730,25475,18086,16358,6758,6813,2649,2440
R,8,2020,44,3851416,1910172,1941244,1457794,1436299,245666,276606,26465,25072,137217,157111,5468,5253,37562,40903,1490127,1471115,258553,291998,40850,40663,152196,173261,9676,9583,1496748,1540392,1090257,1082087,228056,256624,13612,13830,133222,153012,3921,3861,27680,30978,1113798,1108190,236631,267474,23228,24736,145841,166669,7242,7345,413424,400852,367537,354212,17610,19982,12853,11242,3995,4099,1547,1392,9882,9925,376329,362925,21922,24524,17622,15927,6355,6592,2434,2238
R,8,2020,45,3949340,1962319,1987021,1502154,1474239,251095,282659,26450,25462,141383,159935,5625,5084,35612,39642,1532516,1507950,263252,297248,40374,40686,155594,175703,9585,9207,1546978,1585200,1131055,1117618,234132,263449,13598,14198,137424,155952,4087,3756,26682,30227,1153536,1143054,242468,273718,23094,24903,149521,169444,7269,7073,415341,401821,371099,356621,16963,19210,12852,11264,3959,3983,1538,1328,8930,9415,378980,364896,20784,23530,17280,15783,6073,6259,2316,2134
R,8,2020,46,3846030,1903856,1942174,1458318,1442649,242146,275113,25796,24649,138479,156903,5185,4966,33932,37894,1487203,1474680,253593,289017,39239,39469,152026,171904,9016,8963,1507452,1552891,1103316,1096108,226390,256926,13341,13875,134895,153129,3823,3682,25687,29171,1124953,1120474,234290,266891,22648,24479,146522,166041,6928,6914,396404,389283,355002,346541,15756,18187,12455,10774,3584,3774,1362,1284,8245,8723,362250,354206,19303,22126,16591,14990,5504,5863,2088,2049
R,8,2020,47,3870326,1908397,1961929,1461734,1457444,245513,280748,25229,24835,137434,156806,5089,4893,33398,37203,1490058,1488829,256453,294242,38614,39612,150909,171569,8835,8788,1523558,1579268,1116735,1116632,230331,262989,13313,14127,133937,153059,3773,3658,25469,28803,1138089,1140649,237879,272688,22709,24885,145588,165786,6816,6817,384839,382661,344999,340812,15182,17759,11916,10708,3497,3747,1316,1235,7929,8400,351969,348180,18574,21554,15905,14727,5321,5783,2019,1971
R,8,2020,48,4029605,1989104,2040501,1534461,1527839,254088,289456,25725,24832,136626,156347,5058,4857,33146,37170,1562440,1559171,264718,302614,39504,40100,149780,170866,8795,8809,1607908,1661593,1192385,1189890,239259,272081,13818,14357,133073,152722,3757,3612,25616,28931,1213740,1213986,246782,281555,23764,25559,144470,165346,6791,6858,381196,378908,342076,337949,14829,17375,11907,10475,3553,3625,1301,1245,7530,8239,348700,345185,17936,21059,15740,14541,5310,5520,2004,1951
R,8,2020,49,4249508,2096322,2153186,1636306,1631459,262478,301519,25904,25616,132685,151751,5044,4932,33905,37909,1665002,1663416,273257,314786,40313,41564,145918,166208,8959,9117,1719186,1777531,1297852,1296684,247756,284243,14357,14971,129121,148152,3718,3696,26382,29785,1319957,1321530,255369,293893,24915,26953,140593,160660,6920,7151,377136,375655,338454,334775,14722,17276,11547,10645,3564,3599,1326,1236,7523,8124,345045,341886,17888,20893,15398,14611,5325,5548,2039,1966
R,8,2020,50,4318945,2137188,2181757,1673583,1661770,265944,300217,26152,25428,132911,152163,5149,5081,33449,37098,1701849,1692829,276525,313067,40587,41390,145661,166321,9120,9289,1758768,1812321,1334101,1332113,251055,283475,14369,15194,129386,148511,3856,3862,26001,29166,1355813,1356280,258580,292872,24975,27188,140380,160680,7134,7343,378420,369436,339482,329657,14889,16742,11783,10234,3525,3652,1293,1219,7448,7932,346036,336549,17945,20195,15612,14202,5281,5641,1986,1946
R,8,2020,51,4101930,2026303,2075627,1594646,1590245,246296,279341,24718,24119,124959,143122,4781,4778,30903,34022,1620830,1618765,255652,290696,38490,39296,136726,155908,8362,8576,1672720,1728990,1277026,1280744,232509,263710,13929,14452,121745,139724,3601,3623,23910,26737,1297080,1302936,238979,271864,24075,25933,131908,150791,6535,6760,353583,346637,317620,309501,13787,15631,10789,9667,3214,3398,1180,1155,6993,7285,323750,315829,16673,18832,14415,13363,4818,5117,1827,1816
R,8,2020,52,3987325,1966144,2021181,1545729,1545895,244188,277802,23998,23465,118756,137245,4532,4596,28941,32178,1570037,1572651,252901,288491,37196,38040,129696,149200,7910,8418,1625224,1686184,1239633,1246487,230620,262557,13451,14321,115751,134096,3369,3462,22400,25261,1258196,1267223,236634,270229,23268,25423,125200,144435,6173,6646,340920,334997,306096,299408,13568,15245,10547,9144,3005,3149,1163,1134,6541,6917,311841,305428,16267,18262,13928,12617,4496,4765,1737,1772
R,8,2020,53,3982182,1956717,2025465,1549660,1562295,241776,277548,23251,23388,109632,126482,4567,4569,27831,31183,1573049,1588235,250034,288130,36288,37863,119895,137580,7871,8207,1630631,1701803,1256425,1273034,228943,262680,13471,14603,106695,123505,3440,3473,21657,24508,1274387,1293166,234635,270289,23260,25677,115565,133067,6226,6529,326086,323662,293235,289261,12833,14868,9780,8785,2937,2977,1127,1096,6174,6675,298662,295069,15399,17841,13028,12186,4330,4513,1645,1678
R,8,2020,54,4031805,1979662,2052143,1565199,1582113,249043,284914,23527,23568,109937,126269,4445,4553,27511,30726,1588039,1607597,257267,295048,36741,38244,119845,137166,7817,8173,1658702,1734388,1276884,1298179,236034,270369,13809,14917,107131,123250,3395,3538,21449,24135,1294426,1317958,241679,277610,23904,26232,115645,132593,6225,6549,320960,317755,288315,283934,13009,14545,9718,8651,2806,3019,1050,1015,6062,6591,293613,289639,15588,17438,12837,12012,4200,4573,1592,1624
R,8,2020,55,4257501,2087571,2169930,1658145,1682667,260300,297755,24472,24698,111765,128349,4653,4734,28236,31727,1681717,1708910,268473,308082,38255,40111,121905,139382,8088,8511,1765049,1850001,1368292,1396661,247382,283077,14768,16039,108900,125349,3620,3716,22087,25159,1386471,1417205,253034,290540,25246,28123,117693,134856,6489,6886,322522,319929,289853,286006,12918,14678,9704,8659,2865,3000,1033,1018,6149,6568,295246,291705,15439,17542,13009,11988,4212,4526,1599,1625
R,8,2020,56,4347755,2121280,2226475,1695580,1737743,257608,297356,24255,24844,111314,130316,4390,4628,28133,31588,1718974,1763845,265546,307170,38399,40700,121286,141292,7860,8379,1814865,1915634,1420359,1459842,245139,283049,14976,16270,108654,127526,3421,3643,22316,25304,1438693,1480462,250693,290151,26016,28952,117309,137042,6328,6814,306415,310841,275221,277901,12469,14307,9279,8574,2660,2790,969,985,5817,6284,280281,283383,14853,17019,12383,11748,3977,4250,1532,1565
R,8,2020,57,4331243,2106678,2224565,1687992,1742766,251702,291852,23721,24294,111462,129871,4183,4508,27618,31274,1711001,1768508,259284,301632,37694,40182,121267,140477,7491,8206,1816685,1926970,1427413,1476768,239975,278430,14935,16092,108852,127050,3288,3581,22222,25049,1445740,1497117,245330,285527,26016,28800,117451,136211,6121,6695,289993,297595,260579,265998,11727,13422,8786,8202,2610,2821,895,927,5396,6225,265261,271391,13954,16105,11678,11382,3816,4266,1370,1511
R,8,2020,58,4311193,2092552,2218641,1689003,1751538,246453,288129,23021,24071,102624,119773,4275,4468,27176,30662,1711728,1776696,253720,297709,36832,39982,112270,130060,7628,8110,1814810,1933309,1439199,1496255,235350,275582,14676,16109,100206,117091,3428,3561,21951,24711,1457374,1516307,240485,282531,25726,28968,108646,126006,6282,6603,277742,285332,249804,255283,11103,12547,8345,7962,2418,2682,847,907,5225,5951,254354,260389,13235,15178,11106,11014,3624,4054,1346,1507
R,8,2020,59,4340982,2099557,2241425,1704959,1778410,243578,287661,22458,23962,97621,117149,4075,4235,26866,30008,1727348,1803023,250700,296791,36416,39871,107091,127136,7309,7801,1836118,1967355,1468204,1533054,233063,275424,14522,16546,95258,114568,3274,3414,21797,24349,1486157,1552787,238143,282144,25747,29506,103552,123220,6014,6409,263439,274070,236755,245356,10515,12237,7936,7416,2363,2581,801,821,5069,5659,241191,250236,12557,14647,10669,10365,3539,3916,1295,1392
R,8,2020,60,4379223,2119332,2259891,1713879,1785622,249277,292930,22737,24067,102527,123184,4143,4273,26769,29815,1736299,1809984,256281,302136,36671,39840,111919,133059,7337,7793,1855223,1986286,1476539,1540620,238645,280749,14743,16674,100182,120578,3326,3474,21788,24191,1494602,1560132,243646,287546,25995,29529,108460,129115,6025,6450,264109,273605,237340,245002,10632,12181,7994,7393,2345,2606,817,799,4981,5624,241697,249852,12635,14590,10676,10311,3459,3944,1312,1343
R,8,2020,61,4230787,2037918,2192869,1657473,1742553,235401,280257,21007,22605,95086,115463,3834,3927,25117,28064,1678412,1765657,241870,288637,34332,37891,103889,124551,6741,7108,1799419,1941193,1443082,1517182,225782,268943,13892,15738,92944,113093,3114,3224,20605,23013,1460135,1535929,230435,275147,24762,28366,100694,121038,5580,5945,238499,251676,214391,225371,9619,11314,7115,6867,2142,2370,720,703,4512,5051,218277,229728,11435,13490,9570,9525,3195,3513,1161,1163
R,8,2020,62,4165948,1998735,2167213,1631353,1729829,225047,269538,19832,21790,94753,115223,3590,3821,24160,27012,1651446,1751936,231316,277672,32795,36614,103078,123942,6371,6822,1777554,1929010,1432783,1516397,215835,258774,13350,15440,92778,113094,2921,3123,19887,22182,1449167,1534369,220355,264809,24033,27696,100159,120692,5281,5694,221181,238203,198570,213432,9212,10764,6482,6350,1975,2129,669,698,4273,4830,202279,217567,10961,12863,8762,8918,2919,3250,1090,1128
R,8,2020,63,4119736,1967858,2151878,1610860,1721287,218924,267436,19602,21193,91661,112097,3473,3617,23338,26248,1630244,1742853,225024,275248,32365,36077,99514,120115,6145,6589,1755691,1920494,1420382,1513815,210200,257007,13122,15056,89797,110081,2858,2952,19332,21583,1436280,1531337,214657,262803,23689,27475,96813,117042,5163,5481,212167,231384,190478,207472,8724,10429,6480,6137,1864,2016,615,665,4006,4665,193964,211516,10367,12445,8676,8602,2701,3073,982,1108
R,8,2020,64,3963894,1884578,2079316,1544464,1662717,206894,256307,18305,20394,89666,111167,3206,3465,22043,25266,1562856,1683429,212563,263799,30359,34723,97000,119003,5757,6271,1684870,1858450,1365256,1464687,198639,246377,12287,14654,87878,109077,2625,2897,18185,20758,1380287,1481518,202696,251898,22237,26619,94382,115880,4817,5278,199708,220866,179208,198030,8255,9930,6018,5740,1788,2090,581,568,3858,4508,182569,201911,9867,11901,8122,8104,2618,3123,940,993
R,8,2020,65,3902870,1850231,2052639,1521847,1647977,198341,247113,17573,19323,88239,110939,3065,3365,21166,23922,1539371,1667490,203775,254225,29325,32772,95248,118427,5538,6094,1658435,1838523,1349104,1455111,190458,237886,12064,13977,86571,109032,2542,2783,17696,19734,1363622,1470967,194446,243168,21935,25232,92828,115601,4681,5135,191796,214116,172743,192866,7883,9227,5509,5346,1668,1907,523,582,3470,4188,175749,196523,9329,11057,7390,7540,2420,2826,857,959
R,8,2020,66,3742594,1762986,1979608,1459076,1598035,182821,233424,16088,18116,82751,104566,2807,3151,19443,22316,1475323,1616219,187740,239993,27128,31020,89034,111243,4936,5712,1589253,1781644,1302359,1419373,175576,225062,11266,13280,81340,102800,2345,2606,16367,18523,1315920,1434266,179186,229965,20665,24164,86941,108682,4215,4831,173733,197964,156717,178662,7245,8362,4822,4836,1411,1766,462,545,3076,3793,159403,181953,8554,10028,6463,6856,2093,2561,721,881
R,8,2020,67,3575640,1677639,1898001,1396040,1540759,167544,217315,14946,16787,78335,99247,2668,2901,18106,20992,1411128,1557951,171979,223365,25272,29004,84186,105600,4709,5294,1518045,1713791,1252094,1374252,160968,209480,10501,12387,76968,97673,2253,2437,15261,17562,1264717,1388449,164204,214060,19289,22765,82203,103256,4039,4526,159594,184210,143946,166507,6576,7835,4445,4400,1367,1574,415,464,2845,3430,146411,169502,7775,9305,5983,6239,1983,2344,670,768
R,8,2020,68,3433549,1607305,1826244,1344684,1487326,155545,205886,13638,15734,74229,95345,2534,2789,16675,19164,1358543,1503056,159696,211357,23277,27129,79491,100918,4491,4980,1460083,1654878,1211574,1332405,149586,198548,9718,11638,72977,93852,2148,2363,14080,16072,1223170,1345433,152653,202685,17929,21390,77696,98752,3847,4251,147222,171366,133110,154921,5959,7338,3920,4096,1252,1493,386,426,2595,3092,135373,157623,7043,8672,5348,5739,1795,2166,644,729
R,8,2020,69,3297773,1536450,1761323,1286326,1433400,149764,201220,13051,14975,69275,90981,2293,2551,15741,18196,1299407,1448276,153648,206572,22352,25894,74110,96119,4104,4619,1396019,1597194,1159055,1285080,144122,194224,9409,11011,68132,89487,1967,2166,13334,15226,1170037,1297350,147006,198289,17378,20363,72457,93968,3569,3953,140431,164129,127271,148320,5642,6996,3642,3964,1143,1494,326,385,2407,2970,129370,150926,6642,8283,4974,5531,1653,2151,535,666
R,8,2020,70,3198785,1488911,1709874,1241385,1387558,144944,194071,12675,14312,72342,93908,2330,2511,15235,17514,1254034,1401774,148751,199225,21712,24647,76990,99092,4090,4565,1355174,1550273,1120257,1243103,139504,187158,9234,10678,71271,92497,1958,2153,12950,14684,1130932,1254881,142359,191053,16978,19538,75427,97016,3530,3933,133737,159601,121128,144455,5440,6913,3441,3634,1071,1411,372,358,2285,2830,123102,146893,6392,8172,4734,5109,1563,2076,560,632
R,8,2020,71,3088141,1433672,1654469,1206621,1356207,132170,179775,11845,13319,66820,86323,2217,2437,13999,16408,1218276,1369676,135521,184489,20234,23242,71056,90898,3854,4282,1311290,1507864,1095549,1223148,127371,173603,8683,10004,65814,85118,1888,2083,11985,13908,1105465,1234461,129886,177208,15983,18642,69590,89132,3318,3696,122382,146605,111072,133059,4799,6172,3162,3315,1006,1205,329,354,2014,2500,112811,135215,5635,7281,4251,4600,1466,1766,536,586
R,8,2020,72,3019676,1399038,1620638,1186600,1340221,123261,169382,10963,12575,63039,80555,1981,2232,13194,15673,1197604,1353173,126481,173751,18926,22082,66921,84921,3492,4002,1283856,1480997,1081940,1213379,118718,163636,8129,9501,62121,79364,1688,1910,11260,13207,1091242,1224164,121171,166949,15024,17724,65572,83187,3037,3456,115182,139641,104660,126842,4543,5746,2834,3074,918,1191,293,322,1934,2466,106362,129009,5310,6802,3902,4358,1349,1734,455,546
R,8,2020,73,3131524,1448777,1682747,1249329,1418784,115192,159115,10941,12150,58192,75099,1869,1951,13254,15648,1260480,1431842,118319,163459,19219,21903,61845,79250,3371,3618,1340612,1549124,1150839,1297038,111167,153739,8199,9327,57357,73974,1604,1665,11446,13381,1160424,1308097,113577,157119,15497,17859,60572,77641,2927,3151,108165,133623,98490,121746,4025,5376,2742,2823,835,1125,265,286,1808,2267,100056,123745,4742,6340,3722,4044,1273,1609,444,467
R,8,2020,74,2331953,1068901,1263052,908889,1047653,89892,127745,8330,9707,49971,63930,1672,1735,10147,12282,917419,1057809,92302,131102,14381,16939,52980,67521,2903,3190,976860,1145897,825065,941074,86305,122777,6087,7279,49280,62973,1450,1495,8673,10299,832327,949500,88095,125299,11362,13464,51959,66118,2527,2788,92041,117155,83824,106579,3587,4968,2243,2428,691,957,222,240,1474,1983,85092,108309,4207,5803,3019,3475,1021,1403,376,402
R,8,2020,75,2221493,1010849,1210644,859498,1004265,85775,123779,7713,9206,46944,60276,1445,1635,9474,11483,867447,1013776,88008,126907,13375,16000,49723,63591,2655,3005,924716,1100667,780895,903830,82565,119347,5701,6957,46244,59406,1239,1402,8072,9725,787603,911814,84233,121708,10608,12846,48712,62315,2307,2607,86133,109977,78603,100435,3210,4432,2012,2249,700,870,206,233,1402,1758,79844,101962,3775,5199,2767,3154,1011,1276,348,398
R,8,2020,76,2135843,964407,1171436,825805,980494,78221,114673,7100,8488,43319,55382,1309,1456,8653,10943,833083,989557,80193,117726,12305,15085,45845,58407,2396,2775,887759,1069830,755766,887574,75247,110753,5321,6418,42773,54543,1146,1255,7506,9287,762035,895202,76774,113088,9932,12155,45031,57199,2119,2429,76648,101606,70039,92920,2974,3920,1779,2070,546,839,163,201,1147,1656,71048,94355,3419,4638,2373,2930,814,1208,277,346
R,8,2020,77,2157667,968222,1189445,838763,1008001,73820,111634,6538,8040,39776,49979,1161,1294,8164,10497,845683,1016774,75672,114476,11591,14461,41997,52785,2157,2499,897138,1092596,773695,919573,71097,107689,5023,6086,39218,49255,1025,1110,7080,8883,779696,926948,72499,109797,9523,11703,41173,51692,1901,2184,71084,96849,65068,88428,2723,3945,1515,1954,558,724,136,184,1084,1614,65987,89826,3173,4679,2068,2758,824,1093,256,315
R,8,2020,78,1861545,827256,1034289,711170,869574,64776,99066,5800,7072,37281,48348,997,1201,7232,9028,717215,877098,66456,101473,10249,12598,39339,50812,1848,2201,763988,947523,653219,789955,62333,95779,4464,5370,36823,47686,866,1003,6283,7730,658448,796342,63633,97627,8410,10216,38659,49861,1618,1901,63268,86766,57951,79619,2443,3287,1336,1702,458,662,131,198,949,1298,58767,80756,2823,3846,1839,2382,680,951,230,300
R,8,2020,79,1666131,731040,935091,626989,784054,57628,91552,5218,6410,33885,43740,929,1031,6391,8304,632380,790961,59063,93777,9098,11448,35753,46078,1699,1992,673273,854828,574037,710313,55432,88483,4011,4954,33464,43128,822,874,5507,7076,578660,716164,56501,90187,7438,9350,35120,45170,1503,1721,57767,80263,52952,73741,2196,3069,1207,1456,421,612,107,157,884,1228,53720,74797,2562,3590,1660,2098,633,908,196,271
R,8,2020,80,1539095,669023,870072,570828,726769,53893,86773,4823,6029,32653,41761,883,1066,5943,7674,575806,733160,55250,88868,8338,10618,34487,43895,1599,1961,614348,793153,520718,656211,51829,83747,3657,4621,32222,41185,763,876,5159,6513,525028,661584,52864,85336,6754,8605,33866,43061,1407,1662,54675,76919,50110,70558,2064,3026,1166,1408,431,576,120,190,784,1161,50778,71576,2386,3532,1584,2013,621,834,192,299
R,8,2020,81,1409650,609323,800327,522914,673163,47386,76979,4090,5310,29078,36970,711,973,5144,6932,527272,678935,48558,78809,7143,9440,30618,38950,1329,1816,559975,730062,477625,608572,45460,74225,3095,4084,28731,36451,611,832,4453,5898,481371,613473,46350,75592,5787,7685,30106,38186,1176,1560,49348,70265,45289,64591,1926,2754,995,1226,347,519,100,141,691,1034,45901,65462,2208,3217,1356,1755,512,764,153,256
R,8,2020,82,1314148,559450,754698,481167,635910,42566,72046,3733,5053,26546,34575,682,880,4756,6234,485176,641104,43654,73744,6576,8685,27969,36377,1226,1615,514514,689164,439822,575763,40909,69441,2884,3881,26221,34108,577,717,4101,5254,443258,580108,41725,70718,5392,7031,27488,35676,1051,1354,44936,65534,41345,60147,1657,2605,849,1172,325,467,105,163,655,980,41918,60996,1929,3026,1184,1654,481,701,175,261
R,8,2020,83,1175888,492743,683145,423335,574986,37642,65437,3236,4417,23744,31780,601,791,4185,5734,426918,579783,38605,66978,5686,7745,25039,33435,1069,1488,452326,623284,386149,519959,36107,63115,2468,3354,23465,31309,516,660,3621,4887,389236,524012,36821,64289,4645,6260,24625,32770,931,1277,40417,59861,37186,55027,1535,2322,768,1063,279,471,85,131,564,847,37682,55771,1784,2689,1041,1485,414,665,138,211
